1f, 00000001, fffffffe,                 1172,                  172
1f, 00000000, 00000000,                 1337,                  165
01, edeacadb, 12153524,                 1508,                  171
01, 00000000, 00000000,                 1672,                  164
03, 7b7b29f6, 8484d609,                 1842,                  170
03, 00000000, 00000000,                 2007,                  165
0d, f94684f2, 06b97b0d,                 2177,                  170
0d, 00000000, 00000000,                 2341,                  164
12, 4d3d7b9a, b2c28465,                 2512,                  171
12, 00000000, 00000000,                 2677,                  165
0d, ff0c1cfe, 00f3e301,                 2848,                  171
0d, 00000000, 00000000,                 3013,                  165
1d, c4dc0e89, 3b23f176,                 3184,                  171
1d, 00000000, 00000000,                 3349,                  165
0c, 892ba812, 76d457ed,                 3519,                  170
0c, 00000000, 00000000,                 3684,                  165
15, 00000001, fffffffe,                 3854,                  170
15, 00000000, 00000000,                 4019,                  165
08, 00000001, fffffffe,                 4189,                  170
08, 00000000, 00000000,                 4354,                  165
10, 00000001, fffffffe,                 4524,                  170
10, 00000000, 00000000,                 4689,                  165
11, 00000001, fffffffe,                 4858,                  169
11, 00000000, 00000000,                 5023,                  165
1a, 00000001, fffffffe,                 5192,                  169
1a, 00000000, 00000000,                 5357,                  165
02, 00000001, fffffffe,                 5527,                  170
02, 00000000, 00000000,                 5692,                  165
1a, 00000001, fffffffe,                 5862,                  170
1a, 00000000, 00000000,                 6027,                  165
15, 00000001, fffffffe,                 6196,                  169
15, 00000000, 00000000,                 6361,                  165
1f, 00000001, fffffffe,                 6530,                  169
1f, 00000000, 00000000,                 6695,                  165
1d, aa87ba55, 557845aa,                 6865,                  170
1d, 00000000, 00000000,                 7029,                  164
0c, 892ba812, 76d457ed,                 7199,                  170
0c, 00000000, 00000000,                 7363,                  164
13, 7943c7f2, 86bc380d,                 7534,                  171
13, 00000000, 00000000,                 7699,                  165
15, ca602294, 359fdd6b,                 7869,                  170
15, 00000000, 00000000,                 8034,                  165
0e, 7ee8b5fd, 81174a02,                 8205,                  171
0e, 00000000, 00000000,                 8370,                  165
0f, f10016e2, 0effe91d,                 8540,                  170
0f, 00000000, 00000000,                 8705,                  165
0a, ee7bb6dc, 11844923,                 8875,                  170
0a, 00000000, 00000000,                 9039,                  164
1c, 1a8cf535, e5730aca,                 9210,                  171
1c, 00000000, 00000000,                 9374,                  164
07, 00000001, fffffffe,                 9544,                  170
07, 00000000, 00000000,                 9709,                  165
16, 00000001, fffffffe,                 9879,                  170
16, 00000000, 00000000,                10044,                  165
09, c3df0c87, 3c20f378,                10215,                  171
09, 00000000, 00000000,                10380,                  165
11, 00000001, fffffffe,                10550,                  170
11, 00000000, 00000000,                10715,                  165
15, ca602294, 359fdd6b,                10885,                  170
15, 00000000, 00000000,                11049,                  164
0e, 9cb40639, 634bf9c6,                11219,                  170
0e, 00000000, 00000000,                11384,                  165
10, 00000001, fffffffe,                11554,                  170
10, 00000000, 00000000,                11719,                  165
05, 6954a7d2, 96ab582d,                11890,                  171
05, 00000000, 00000000,                12055,                  165
0a, 218afd43, de7502bc,                12225,                  170
0a, 00000000, 00000000,                12390,                  165
19, 8726640e, 78d99bf1,                12561,                  171
19, 00000000, 00000000,                12726,                  165
0c, cedcf89d, 31230762,                12897,                  171
0c, 00000000, 00000000,                13061,                  164
0f, b05eaa60, 4fa1559f,                13231,                  170
0f, 00000000, 00000000,                13396,                  165
17, 83925607, 7c6da9f8,                13567,                  171
17, 00000000, 00000000,                13732,                  165
1c, 303ba960, cfc4569f,                13902,                  170
1c, 00000000, 00000000,                14066,                  164
09, 52343fa4, adcbc05b,                14236,                  170
09, 00000000, 00000000,                14400,                  164
10, 5b51cdb6, a4ae3249,                14571,                  171
10, 00000000, 00000000,                14735,                  164
11, 14013f28, ebfec0d7,                14905,                  170
11, 00000000, 00000000,                15070,                  165
17, 83925607, 7c6da9f8,                15240,                  170
17, 00000000, 00000000,                15405,                  165
02, 00000001, fffffffe,                15575,                  170
02, 00000000, 00000000,                15740,                  165
01, edeacadb, 12153524,                15910,                  170
01, 00000000, 00000000,                16074,                  164
06, 83021606, 7cfde9f9,                16244,                  170
06, 00000000, 00000000,                16409,                  165
0c, b4ded069, 4b212f96,                16579,                  170
0c, 00000000, 00000000,                16743,                  164
07, 00000001, fffffffe,                16912,                  169
07, 00000000, 00000000,                17077,                  165
16, 8a3af214, 75c50deb,                17248,                  171
16, 00000000, 00000000,                17413,                  165
15, 40dccd81, bf23327e,                17583,                  170
15, 00000000, 00000000,                17747,                  164
06, d3ea9ca7, 2c156358,                17918,                  171
06, 00000000, 00000000,                18083,                  165
1c, 38e5f371, c71a0c8e,                18254,                  171
1c, 00000000, 00000000,                18418,                  164
06, 82ca6605, 7d3599fa,                18588,                  170
06, 00000000, 00000000,                18753,                  165
03, c669e88c, 39961773,                18923,                  170
03, 00000000, 00000000,                19088,                  165
13, 686657d0, 9799a82f,                19259,                  171
13, 00000000, 00000000,                19424,                  165
04, 5027a9a0, afd8565f,                19594,                  170
04, 00000000, 00000000,                19758,                  164
0b, 84070208, 7bf8fdf7,                19928,                  170
0b, 00000000, 00000000,                20093,                  165
1a, 0cf6e519, f3091ae6,                20264,                  171
1a, 00000000, 00000000,                20429,                  165
1a, 0cf6e519, f3091ae6,                20599,                  170
1a, 00000000, 00000000,                20764,                  165
00, 3fc4dd7f, c03b2280,                20935,                  171
00, 00000000, 00000000,                21099,                  164
1b, 00000001, fffffffe,                21269,                  170
1b, 00000000, 00000000,                21434,                  165
15, 40dccd81, bf23327e,                21604,                  170
15, 00000000, 00000000,                21768,                  164
11, 14013f28, ebfec0d7,                21938,                  170
11, 00000000, 00000000,                22103,                  165
05, 12ac9325, ed536cda,                22273,                  170
05, 00000000, 00000000,                22438,                  165
1c, 38e5f371, c71a0c8e,                22609,                  171
1c, 00000000, 00000000,                22773,                  164
11, 14013f28, ebfec0d7,                22943,                  170
11, 00000000, 00000000,                23108,                  165
15, 40dccd81, bf23327e,                23278,                  170
15, 00000000, 00000000,                23443,                  165
07, 00000001, fffffffe,                23613,                  170
07, 00000000, 00000000,                23778,                  165
18, c32e7886, 3cd18779,                23949,                  171
18, 00000000, 00000000,                24113,                  164
13, b58b406b, 4a74bf94,                24283,                  170
13, 00000000, 00000000,                24448,                  165
19, 7dc0d3fb, 823f2c04,                24618,                  170
19, 00000000, 00000000,                24782,                  164
12, 4d3d7b9a, b2c28465,                24952,                  170
12, 00000000, 00000000,                25117,                  165
0d, 934f4826, 6cb0b7d9,                25287,                  170
0d, 00000000, 00000000,                25452,                  165
0a, 44ba1d89, bb45e276,                25622,                  170
0a, 00000000, 00000000,                25787,                  165
15, a4e8d249, 5b172db6,                25958,                  171
15, 00000000, 00000000,                26122,                  164
16, 8a3af214, 75c50deb,                26292,                  170
16, 00000000, 00000000,                26457,                  165
17, 83925607, 7c6da9f8,                26627,                  170
17, 00000000, 00000000,                26792,                  165
12, 4d3d7b9a, b2c28465,                26962,                  170
12, 00000000, 00000000,                27127,                  165
11, 14013f28, ebfec0d7,                27297,                  170
11, 00000000, 00000000,                27462,                  165
03, 01208d02, fedf72fd,                27632,                  170
03, 00000000, 00000000,                27797,                  165
16, 8a3af214, 75c50deb,                27968,                  171
16, 00000000, 00000000,                28133,                  165
19, 7dc0d3fb, 823f2c04,                28303,                  170
19, 00000000, 00000000,                28467,                  164
02, 00000001, fffffffe,                28637,                  170
02, 00000000, 00000000,                28802,                  165
10, ccb15899, 334ea766,                28973,                  171
10, 00000000, 00000000,                29137,                  164
05, 12ac9325, ed536cda,                29307,                  170
05, 00000000, 00000000,                29472,                  165
05, 12ac9325, ed536cda,                29642,                  170
05, 00000000, 00000000,                29807,                  165
1a, 9571fa2a, 6a8e05d5,                29978,                  171
1a, 00000000, 00000000,                30143,                  165
17, 230fff46, dcf000b9,                30313,                  170
17, 00000000, 00000000,                30478,                  165
00, b4d8c869, 4b273796,                30649,                  171
00, 00000000, 00000000,                30813,                  164
16, ecda60d9, 13259f26,                30984,                  171
16, 00000000, 00000000,                31149,                  165
07, 00000001, fffffffe,                31319,                  170
07, 00000000, 00000000,                31484,                  165
04, 5cf8e5b9, a3071a46,                31654,                  170
04, 00000000, 00000000,                31818,                  164
06, 71c86fe3, 8e37901c,                31988,                  170
06, 00000000, 00000000,                32153,                  165
1e, f6f324ed, 090cdb12,                32324,                  171
1e, 00000000, 00000000,                32489,                  165
1e, f6f324ed, 090cdb12,                32660,                  171
1e, 00000000, 00000000,                32825,                  165
0f, b05eaa60, 4fa1559f,                32995,                  170
0f, 00000000, 00000000,                33160,                  165
0a, 44ba1d89, bb45e276,                33330,                  170
0a, 00000000, 00000000,                33495,                  165
1e, f6f324ed, 090cdb12,                33666,                  171
1e, 00000000, 00000000,                33830,                  164
07, 00000001, fffffffe,                34000,                  170
07, 00000000, 00000000,                34165,                  165
13, da4d84b4, 25b27b4b,                34336,                  171
13, 00000000, 00000000,                34501,                  165
0a, 09dd1913, f622e6ec,                34671,                  170
0a, 00000000, 00000000,                34836,                  165
08, d8a72eb1, 2758d14e,                35006,                  170
08, 00000000, 00000000,                35170,                  164
01, ab610256, 549efda9,                35340,                  170
01, 00000000, 00000000,                35505,                  165
06, f8f446f1, 070bb90e,                35675,                  170
06, 00000000, 00000000,                35839,                  164
0a, 30293f60, cfd6c09f,                36009,                  170
0a, 00000000, 00000000,                36174,                  165
0d, eaa5e2d5, 155a1d2a,                36344,                  170
0d, 00000000, 00000000,                36508,                  164
18, b08a0061, 4f75ff9e,                36679,                  171
18, 00000000, 00000000,                36843,                  164
0c, b4ded069, 4b212f96,                37014,                  171
0c, 00000000, 00000000,                37178,                  164
18, b08a0061, 4f75ff9e,                37349,                  171
18, 00000000, 00000000,                37513,                  164
05, 12ac9325, ed536cda,                37683,                  170
05, 00000000, 00000000,                37848,                  165
06, f8f446f1, 070bb90e,                38018,                  170
06, 00000000, 00000000,                38183,                  165
0b, 84070208, 7bf8fdf7,                38353,                  170
0b, 00000000, 00000000,                38518,                  165
19, 9de9543b, 6216abc4,                38689,                  171
19, 00000000, 00000000,                38853,                  164
0d, eaa5e2d5, 155a1d2a,                39024,                  171
0d, 00000000, 00000000,                39188,                  164
02, 00000001, fffffffe,                39357,                  169
02, 00000000, 00000000,                39522,                  165
1b, c0a56481, 3f5a9b7e,                39693,                  171
1b, 00000000, 00000000,                39858,                  165
09, 9abc3035, 6543cfca,                40028,                  170
09, 00000000, 00000000,                40192,                  164
0e, 2f6a575e, d095a8a1,                40362,                  170
0e, 00000000, 00000000,                40526,                  164
0b, 02749504, fd8b6afb,                40696,                  170
0b, 00000000, 00000000,                40861,                  165
09, 087d6f10, f78290ef,                41031,                  170
09, 00000000, 00000000,                41195,                  164
15, e49f1ac9, 1b60e536,                41366,                  171
15, 00000000, 00000000,                41531,                  165
0b, 3817a970, c7e8568f,                41701,                  170
0b, 00000000, 00000000,                41866,                  165
0e, bb9a1877, 4465e788,                42036,                  170
0e, 00000000, 00000000,                42201,                  165
12, b20c7e64, 4df3819b,                42372,                  171
12, 00000000, 00000000,                42537,                  165
1d, e6badecd, 19452132,                42707,                  170
1d, 00000000, 00000000,                42871,                  164
12, b20c7e64, 4df3819b,                43041,                  170
12, 00000000, 00000000,                43206,                  165
07, ca5f3694, 35a0c96b,                43377,                  171
07, 00000000, 00000000,                43542,                  165
19, 9de9543b, 6216abc4,                43713,                  171
19, 00000000, 00000000,                43877,                  164
04, bdb0327b, 424fcd84,                44048,                  171
04, 00000000, 00000000,                44212,                  164
0c, b4ded069, 4b212f96,                44382,                  170
0c, 00000000, 00000000,                44546,                  164
04, bfb9377f, f36fffe6,                44716,                  170
04, 00000000, 00000000,                44883,                  167
1b, 54e69da9, ab196256,                45054,                  171
1b, 00000000, 00000000,                45219,                  165
07, ca5f3694, 35a0c96b,                45390,                  171
07, 00000000, 00000000,                45555,                  165
18, f6c1b2ed, 093e4d12,                45726,                  171
18, 00000000, 00000000,                45890,                  164
05, 637eedc6, 9c811239,                46061,                  171
05, 00000000, 00000000,                46225,                  164
0b, 2f3a235e, d0c5dca1,                46395,                  170
0b, 00000000, 00000000,                46560,                  165
08, bf6fa27e, 40905d81,                46730,                  170
08, 00000000, 00000000,                46894,                  164
01, ec4aaad8, 13b55527,                47064,                  170
01, 00000000, 00000000,                47228,                  164
04, 707391e0, 8f8c6e1f,                47398,                  170
04, 00000000, 00000000,                47562,                  164
0d, 70e309e1, 8f1cf61e,                47732,                  170
0d, 00000000, 00000000,                47896,                  164
0e, bb9a1877, 4465e788,                48066,                  170
0e, 00000000, 00000000,                48230,                  164
12, f5916ceb, 0a6e9314,                48401,                  171
12, 00000000, 00000000,                48566,                  165
0a, 30293f60, cfd6c09f,                48736,                  170
0a, 00000000, 00000000,                48901,                  165
18, f6c1b2ed, 093e4d12,                49072,                  171
18, 00000000, 00000000,                49236,                  164
18, f6c1b2ed, 093e4d12,                49406,                  170
18, 00000000, 00000000,                49570,                  164
06, 9751e42e, 68ae1bd1,                49741,                  171
06, 00000000, 00000000,                49906,                  165
04, 707391e0, 8f8c6e1f,                50076,                  170
04, 00000000, 00000000,                50240,                  164
0e, bb9a1877, 4465e788,                50410,                  170
0e, 00000000, 00000000,                50575,                  165
0a, 2f43a15e, d0bc5ea1,                50745,                  170
0a, 00000000, 00000000,                50910,                  165
05, 82d5ba05, 7d2a45fa,                51080,                  170
05, 00000000, 00000000,                51244,                  164
1c, be5efa7c, 41a10583,                51415,                  171
1c, 00000000, 00000000,                51579,                  164
1e, 46b9eb8d, b9461472,                51749,                  170
1e, 00000000, 00000000,                51913,                  164
0f, 4baa0d97, b455f268,                52083,                  170
0f, 00000000, 00000000,                52248,                  165
10, bcb9f279, 43460d86,                52419,                  171
10, 00000000, 00000000,                52583,                  164
00, e38e68c7, 1c719738,                52754,                  171
00, 00000000, 00000000,                52918,                  164
16, 6bf689d7, 94097628,                53089,                  171
16, 00000000, 00000000,                53253,                  164
06, 9751e42e, 68ae1bd1,                53424,                  171
06, 00000000, 00000000,                53589,                  165
03, 01208d02, fedf72fd,                53759,                  170
03, 00000000, 00000000,                53924,                  165
1d, e6badecd, 19452132,                54095,                  171
1d, 00000000, 00000000,                54259,                  164
1e, 46b9eb8d, b9461472,                54429,                  170
1e, 00000000, 00000000,                54594,                  165
1c, 2795954f, d86a6ab0,                54764,                  170
1c, 00000000, 00000000,                54928,                  164
19, c59da08b, 3a625f74,                55098,                  170
19, 00000000, 00000000,                55262,                  164
1e, 46b9eb8d, b9461472,                55432,                  170
1e, 00000000, 00000000,                55596,                  164
05, 82d5ba05, 7d2a45fa,                55767,                  171
05, 00000000, 00000000,                55932,                  165
13, 93bb0627, 6c44f9d8,                56103,                  171
13, 00000000, 00000000,                56268,                  165
11, f9f5a2f3, 060a5d0c,                56438,                  170
11, 00000000, 00000000,                56602,                  164
16, 621e83c4, 9de17c3b,                56772,                  170
16, 00000000, 00000000,                56937,                  165
1e, 04203d08, fbdfc2f7,                57107,                  170
1e, 00000000, 00000000,                57272,                  165
15, 5187a7a3, ae78585c,                57442,                  170
15, 00000000, 00000000,                57606,                  164
00, 6fd5c5df, 902a3a20,                57777,                  171
00, 00000000, 00000000,                57941,                  164
14, c69ff68d, 39600972,                58112,                  171
14, 00000000, 00000000,                58276,                  164
0d, 91750a22, 6e8af5dd,                58446,                  170
0d, 00000000, 00000000,                58611,                  165
19, da4f66b4, 25b0994b,                58782,                  171
19, 00000000, 00000000,                58946,                  164
10, bcb9f279, 43460d86,                59116,                  170
10, 00000000, 00000000,                59280,                  164
1c, 2795954f, d86a6ab0,                59450,                  170
1c, 00000000, 00000000,                59614,                  164
0e, bb9a1877, 4465e788,                59785,                  171
0e, 00000000, 00000000,                59950,                  165
0a, 2f43a15e, d0bc5ea1,                60120,                  170
0a, 00000000, 00000000,                60285,                  165
12, f5916ceb, 0a6e9314,                60456,                  171
12, 00000000, 00000000,                60620,                  164
07, bdb6007b, 4249ff84,                60791,                  171
07, 00000000, 00000000,                60956,                  165
0d, 0fe2cb1f, f01d34e0,                61126,                  170
0d, 00000000, 00000000,                61290,                  164
19, da4f66b4, 25b0994b,                61461,                  171
19, 00000000, 00000000,                61625,                  164
0f, 421f2d84, bde0d27b,                61795,                  170
0f, 00000000, 00000000,                61960,                  165
15, ddee60bb, 22119f44,                62131,                  171
15, 00000000, 00000000,                62295,                  164
0a, bd84a87b, 427b5784,                62466,                  171
0a, 00000000, 00000000,                62631,                  165
00, c190f083, 3e6f0f7c,                62801,                  170
00, 00000000, 00000000,                62965,                  164
0b, a2b5b245, 5d4a4dba,                63135,                  170
0b, 00000000, 00000000,                63300,                  165
05, 2ce20159, d31dfea6,                63470,                  170
05, 00000000, 00000000,                63634,                  164
02, e6fa7ccd, 19058332,                63804,                  170
02, 00000000, 00000000,                63968,                  164
14, 5b7083b6, a48f7c49,                64139,                  171
14, 00000000, 00000000,                64303,                  164
18, d685eaad, 297a1552,                64473,                  170
18, 00000000, 00000000,                64637,                  164
06, bde6187b, 4219e784,                64808,                  171
06, 00000000, 00000000,                64973,                  165
0f, 421f2d84, bde0d27b,                65143,                  170
0f, 00000000, 00000000,                65308,                  165
13, 93bb0627, 6c44f9d8,                65479,                  171
13, 00000000, 00000000,                65644,                  165
15, ddee60bb, 22119f44,                65814,                  170
15, 00000000, 00000000,                65978,                  164
17, 230fff46, dcf000b9,                66148,                  170
17, 00000000, 00000000,                66313,                  165
0c, 69ddafd3, 9622502c,                66484,                  171
0c, 00000000, 00000000,                66648,                  164
